date,bulletin_no,currency_code,currency_unit,forex_buying,forex_selling
2026-04-07,2026/66,QAR,1,12.1437,12.3026
2026-04-07,2026/66,RON,1,10.0392,10.1706
2026-04-07,2026/66,RUB,1,0.56098,0.56832
2026-04-07,2026/66,SAR,1,11.8586,11.8800
2026-04-07,2026/66,SEK,1,4.6744,4.7228
2026-04-07,2026/66,USD,1,44.5255,44.6057
2026-04-08,2026/67,AED,1,12.0359,12.1934
2026-04-08,2026/67,AUD,1,31.2699,31.4738
2026-04-08,2026/67,AZN,1,26.0021,26.3423
2026-04-08,2026/67,CAD,1,32.0297,32.1742
2026-04-08,2026/67,CHF,1,56.2542,56.6154
2026-04-08,2026/67,CNY,1,6.4738,6.5585
2026-04-08,2026/67,DKK,1,6.9435,6.9776
2026-04-08,2026/67,EUR,1,51.9678,52.0614
2026-04-08,2026/67,GBP,1,59.6235,59.9344
2026-04-08,2026/67,JPY,100,28.0093,28.1947
2026-04-08,2026/67,KRW,1,0.02991,0.03031
2026-04-08,2026/67,KWD,1,144.2203,146.1074
2026-04-08,2026/67,KZT,1,0.09274,0.09395
2026-04-08,2026/67,NOK,1,4.6355,4.6666
2026-04-08,2026/67,PKR,1,0.15824,0.16031
2026-04-08,2026/67,QAR,1,12.1238,12.2825
2026-04-08,2026/67,RON,1,10.1431,10.2758
2026-04-08,2026/67,RUB,1,0.56339,0.57076
2026-04-08,2026/67,SAR,1,11.8451,11.8664
2026-04-08,2026/67,SEK,1,4.7776,4.8270
2026-04-08,2026/67,USD,1,44.4527,44.5328
2026-04-09,2026/68,AED,1,12.0514,12.2091
2026-04-09,2026/68,AUD,1,31.2349,31.4386
2026-04-09,2026/68,AZN,1,26.0357,26.3764
2026-04-09,2026/68,CAD,1,32.0914,32.2362
2026-04-09,2026/68,CHF,1,56.1336,56.4940
2026-04-09,2026/68,CNY,1,6.4730,6.5577
2026-04-09,2026/68,DKK,1,6.9416,6.9757
2026-04-09,2026/68,EUR,1,51.9538,52.0474
2026-04-09,2026/68,GBP,1,59.5585,59.8690
2026-04-09,2026/68,JPY,100,27.9347,28.1196
2026-04-09,2026/68,KRW,1,0.02989,0.03029
2026-04-09,2026/68,KWD,1,144.4070,146.2966
2026-04-09,2026/68,KZT,1,0.09254,0.09375
2026-04-09,2026/68,NOK,1,4.6557,4.6870
2026-04-09,2026/68,PKR,1,0.15847,0.16055
2026-04-09,2026/68,QAR,1,12.1395,12.2984
2026-04-09,2026/68,RON,1,10.1423,10.2750
2026-04-09,2026/68,RUB,1,0.56731,0.57474
2026-04-09,2026/68,SAR,1,11.8610,11.8824
2026-04-09,2026/68,SEK,1,4.7594,4.8087
2026-04-09,2026/68,USD,1,44.5102,44.5904
2026-04-10,2026/69,AED,1,12.0513,12.2090
2026-04-10,2026/69,AUD,1,31.3715,31.5761
2026-04-10,2026/69,AZN,1,26.0389,26.3796
2026-04-10,2026/69,CAD,1,32.1327,32.2776
2026-04-10,2026/69,CHF,1,56.2329,56.5939
2026-04-10,2026/69,CNY,1,6.4803,6.5651
2026-04-10,2026/69,DKK,1,6.9578,6.9920
2026-04-10,2026/69,EUR,1,52.0744,52.1683
2026-04-10,2026/69,GBP,1,59.6765,59.9877
2026-04-10,2026/69,JPY,100,27.8844,28.0691
2026-04-10,2026/69,KRW,1,0.02982,0.03021
2026-04-10,2026/69,KWD,1,144.4247,146.3145
2026-04-10,2026/69,KZT,1,0.09354,0.09477
2026-04-10,2026/69,NOK,1,4.6731,4.7045
2026-04-10,2026/69,PKR,1,0.15868,0.16076
2026-04-10,2026/69,QAR,1,12.1410,12.2999
2026-04-10,2026/69,RON,1,10.1707,10.3038
2026-04-10,2026/69,RUB,1,0.57450,0.58202
2026-04-10,2026/69,SAR,1,11.8623,11.8836
2026-04-10,2026/69,SEK,1,4.7723,4.8217
2026-04-10,2026/69,USD,1,44.5157,44.5959
2026-04-13,2026/70,AED,1,12.0847,12.2428
2026-04-13,2026/70,AUD,1,31.3836,31.5883
2026-04-13,2026/70,AZN,1,26.1090,26.4506
2026-04-13,2026/70,CAD,1,32.1935,32.3387
2026-04-13,2026/70,CHF,1,56.3355,56.6972
2026-04-13,2026/70,CNY,1,6.4959,6.5809
2026-04-13,2026/70,DKK,1,6.9709,7.0051
2026-04-13,2026/70,EUR,1,52.1729,52.2669
2026-04-13,2026/70,GBP,1,59.8245,60.1364
